,mAP@50,mAP@50-95,Precision,Recall,Params (M),Train time (s)
yolo26n-obb,0.9253823709629406,0.6978655922643392,0.9024698438524301,0.8395061728395061,2.446602,335.1045444011688
yolo26s-obb,0.9421082691197354,0.6992421211225137,0.9534086016706393,0.8518518518518519,9.751554,357.38376092910767
yolo11n-obb,0.9728326247980771,0.7238864336294641,0.9628451666382399,0.8765432098765432,2.653918,239.65655732154846
yolo11s-obb,0.9554558302927005,0.7364818814323119,0.8992074858985437,0.9382716049382716,9.699174,261.59166145324707
