,mAP@50,mAP@50-95,Precision,Recall,Params (M),Train time (s)
yolo26n,0.9120434701148793,0.6371436984302274,0.8951551196092324,0.8432835801747353,2.375031,291.1977548599243
yolo26s,0.8910306414499229,0.6173264406402729,0.8621357207289244,0.8492679629705975,9.465567,308.07661962509155
yolo26m,0.9027851607409595,0.5873626030645485,0.8764948845691617,0.7885557109677834,20.350223,369.84249997138977
yolo26l,0.9090895880824259,0.5897796416447456,0.9441139035259426,0.8395061728395061,24.746511,454.08956003189087
